ticker,value_score,company_name,mcap_billions
ASTL,29.5,Algoma Steel Group Inc.,0.50043984
ASTLW,12.5,Algoma Steel Group Inc.,0.0
ASTS,0.0,"AST SpaceMobile, Inc.",32.67480576
ASUR,41.5,"Asure Software, Inc.",0.262017344
ASYS,29.0,"Amtech Systems, Inc.",0.233529104
ATAI,12.5,AtaiBeckley Inc.,1.4699264
ATAT,71.0,Atour Lifestyle Holdings Limited,5.220665344
ATCX,0.0,Atlas Critical Minerals Corporation,0.02633654
ATEC,16.5,"Alphatec Holdings, Inc.",1.680058624
ATER,42.0,"Aterian, Inc.",0.00769897
ATEX,25.0,Anterix Inc.,0.790340544
ATGL,12.5,Alpha Technology Group Limited,0.2634
ATHE,12.5,Alterity Therapeutics Limited,0.084523408
ATHR,12.5,"Aether Holdings, Inc.",0.03886192
ATII,12.5,Archimedes Tech SPAC Partners II Co.,0.308919584
ATIIU,12.5,Archimedes Tech SPAC Partners II Co.,0.27130544
ATIIW,12.5,Archimedes Tech SPAC Partners II Co.,0.0
ATLC,58.0,Atlanticus Holdings Corporation,1.058681792
ATLCL,0.0,Atlanticus Holdings Corporation 6.125% Senior Notes due 2026,0.0
ATLCP,54.0,Atlanticus Holdings Corporation,0.0
ATLCZ,0.0,Atlanticus Holdings Corporation 9.25% Senior Notes due 2029,0.0
ATLN,29.5,Atlantic International Corp.,0.162684448
ATLO,41.5,Ames National Corporation,0.254849536
ATLX,12.5,Atlas Lithium Corporation,0.136062784
ATNI,29.5,"ATN International, Inc.",0.433827648
ATOM,12.5,Atomera Incorporated,0.207167872
ATON,12.5,AlphaTON Capital Corp.,0.007499068
ATOS,12.5,"Atossa Therapeutics, Inc.",0.050204632
ATPC,25.0,Agape ATP Corporation,0.002491558
ATRA,29.5,"Atara Biotherapeutics, Inc.",0.04309866
ATRC,12.5,"AtriCure, Inc.",1.504866432
ATRO,0.0,Astronics Corporation,2.747149824
ATXG,42.0,Addentax Group Corp.,0.004748626
ATYR,25.0,"aTyr Pharma, Inc.",0.083676904
AUBN,12.5,"Auburn National Bancorporation, Inc.",0.083236568
AUDC,42.0,AudioCodes Ltd.,0.259129856
AUGO,0.0,Aura Minerals Inc.,9.144756224
AUID,0.0,authID Inc.,0.018713684
AUMI,0.0,Themes Gold Miners ETF,0.0
AUPH,54.0,Aurinia Pharmaceuticals Inc.,2.134184064
AUR,12.5,"Aurora Innovation, Inc.",10.330087424
